CASE_NO,IEOK_01,ACCD_TP,Year,x_coord,y_coord
CE114295,10109021755,2,101,309240.2392,2762238.794
CE113299,10112292355,3,101,309656.0457,2762261.797
CE113849,10109292250,2,101,309655.3457,2762262.797
CE113952,10109281905,2,101,310293.6561,2762342.803
CE108294,10107211755,3,101,310298.4562,2762344.803
CE105563,10103261622,2,101,308885.9848,2762407.545
CE105567,10104051828,2,101,309144.139,2762435.797
CE113899,10107141115,2,101,308258.9255,2762477.792
CE103361,10103061935,3,101,307193.5216,2762485.035
CE114054,10109151832,2,101,307195.5091,2762487.785
CE108356,10107142253,3,101,309786.4501,2762623.804
CE107804,10107282258,3,101,309792.1502,2762624.804
CE109494,10103171845,3,101,309788.9064,2762625.554
CE108369,10108100858,3,101,309787.5502,2762629.804
CE109342,10101010050,2,101,308795.6351,2762679.798
CE108283,10106271030,2,101,308458.9314,2762905.8
CE108115,10107022030,2,101,308461.4315,2762914.8
CE114306,10109220835,2,101,306637.804,2763035.79
CE114057,10109230952,3,101,306576.1039,2763157.791
CE107562,10102170721,3,101,306397.0015,2763215.791
CE114049,10109070815,2,101,306399.4015,2763216.791
CE103869,10112190945,3,101,306411.3018,2763229.791
CE108796,10104040356,2,101,306418.3019,2763230.791
CE105536,10103132023,2,101,306415.4831,2763233.791
CE108234,10107160106,2,101,308886.4403,2763258.808
CE108107,10106151757,2,101,309335.6475,2763284.811
CE105204,10101010520,2,101,309337.0475,2763285.811
CE107817,10110102013,3,101,309334.2475,2763290.811
CE114273,10109042345,2,101,308932.5413,2763292.809
CE103480,10103021349,3,101,310090.1662,2763405.818
CE111550,10112272008,2,101,310089.8599,2763408.818
CE107811,10109271915,3,101,306077.9986,2763530.794
CE114167,10109260750,2,101,307029.6135,2763552.8
CE114118,10110201530,3,101,306172.5003,2763571.795
CE108205,10107081740,3,101,306046.8984,2763577.794
CE108002,10106141710,3,101,307159.8157,2763583.802
CE105298,10101151730,3,101,306057.3989,2763632.795
CE107947,10109201755,2,101,305849.2958,2763643.794
CE113883,10108131650,2,101,305851.7958,2763643.794
CE107861,10104250825,2,101,305849.8958,2763644.794
CE109489,10102251335,3,101,305845.9958,2763645.794
CE107838,10108082000,3,101,306161.3006,2763645.796
CE111420,10110231208,3,101,305847.0958,2763646.794
CE107645,10101292153,2,101,305851.5958,2763646.794
CE108078,10106021234,3,101,306050.5989,2763647.795
CE108116,10107031041,3,101,306189.4012,2763665.797
CE109386,10103071835,2,101,305938.12,2763675.192
CE103599,10101051700,2,101,305935.4973,2763677.795
CE109373,10102101045,3,101,305941.6974,2763677.795
CE105691,10104101915,2,101,306198.1014,2763679.797
CE107903,10105171440,3,101,306204.8015,2763679.797
CE113904,10108061903,2,101,305936.3974,2763682.795
CE107860,10110061940,2,101,305941.6975,2763684.795
CE108089,10107030933,1,101,306049.4992,2763690.796
CE111416,10110220957,2,101,306023.5988,2763696.796
CE108053,10105181737,3,101,306023.3989,2763699.796
CE114286,10108231440,2,101,306070.8996,2763699.796
CE111422,10110270045,2,101,306023.0989,2763702.796
CE111546,10112201628,2,101,306143.0008,2763720.797
CE111823,10112071458,2,101,306148.301,2763724.797
CE114268,10108310710,3,101,306257.5026,2763725.798
CE105396,10106160030,3,101,306101.8003,2763731.797
CE107533,10104281429,3,101,306172.0014,2763733.798
CE111596,10111240628,2,101,306172.2014,2763733.798
CE103394,10103191810,2,101,306167.444,2763735.404
CE105581,10102121200,3,101,306192.4017,2763735.798
CE107887,10106080750,2,101,306195.0018,2763739.798
CE105522,10102220840,2,101,306199.1018,2763740.798
CE109462,10102051230,2,101,306173.8015,2763741.798
CE103862,10112041607,2,101,306171.8014,2763743.798
CE109538,10103031930,2,101,306155.1075,2763761.798
CE108138,10106141430,3,101,306735.0104,2763779.802
CE108347,10107061802,3,101,306638.6089,2763781.801
CE113963,10110230955,3,101,306287.3035,2763787.799
CE114111,10110071035,2,101,306342.0044,2763787.799
CE114228,10108261330,3,101,306342.9044,2763789.8
CE114060,10109281905,3,101,306360.6047,2763789.8
CE105211,10101131334,2,101,306284.8035,2763790.799
CE114227,10108261054,2,101,306296.5037,2763792.799
CE108126,10107231000,2,101,306611.9086,2763793.801
CE108388,10107170820,2,101,306304.8038,2763794.799
CE105440,10104232220,2,101,306397.0053,2763797.8
CE109469,10102122128,2,101,306424.6057,2763802.8
CE109468,10102121840,2,101,306431.1059,2763808.8
CE105453,10105162045,2,101,306833.5121,2763809.803
CE109585,10103231059,2,101,306451.7062,2763812.301
