Intersection_id,1_AM_count,2_AM_count,3_AM_count,4_AM_count,5_AM_count,6_AM_count,7_AM_count,8_AM_count,9_AM_count,10_AM_count,11_AM_count,12_AM_count,1_PM_count,2_PM_count,3_PM_count,4_PM_count,5_PM_count,6_PM_count,7_PM_count,8_PM_count,9_PM_count,10_PM_count,11_PM_count,12_PM_count
1,6,5,4,6,3,8,7,3,5,5,5,7,11,13,12,10,13,12,16,13,6,9,12,13
2,0,1,2,1,5,2,3,5,2,4,2,0,4,4,0,1,3,2,4,7,4,3,3,2
3,4,4,4,5,7,5,7,2,2,4,6,5,4,6,5,3,6,3,6,1,4,7,1,5
4,4,1,5,2,6,5,4,6,3,9,2,6,11,2,4,4,11,9,7,3,10,9,11,16
5,2,1,2,1,4,0,1,1,1,3,1,4,0,3,8,6,11,8,7,12,5,8,7,6
6,3,1,3,0,4,2,4,2,1,1,3,3,10,4,5,5,5,8,10,5,4,9,5,12
7,1,0,0,0,2,0,2,1,3,1,0,2,2,5,3,4,2,1,2,2,2,5,0,3
8,3,0,3,4,0,3,2,1,0,2,2,1,3,4,2,0,4,0,2,5,0,4,1,2
9,4,3,5,3,5,3,2,4,2,4,6,5,8,7,8,5,5,12,15,12,11,10,15,21
10,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,2,0,1,0
11,2,3,0,3,0,3,2,4,5,4,8,3,13,10,7,6,9,6,16,6,2,6,8,13
12,3,1,2,3,2,1,4,3,3,0,2,3,6,2,4,2,2,5,2,4,1,4,2,5
13,2,1,2,2,2,2,1,0,1,1,1,2,3,1,4,2,4,2,2,0,4,1,3,1
14,1,0,1,1,2,1,2,1,1,1,3,1,1,4,1,4,3,2,6,3,1,1,4,4
15,1,1,0,0,0,0,1,0,1,0,3,0,2,0,1,0,2,2,1,0,3,2,0,3
16,2,1,0,2,0,0,1,1,5,7,1,0,3,6,1,6,5,5,4,3,2,2,3,3
17,9,6,7,1,4,4,7,3,3,5,4,2,7,7,7,2,2,10,5,6,9,5,6,7
18,1,2,4,7,0,1,5,3,2,2,2,2,3,4,3,3,1,4,2,3,4,3,4,7
19,1,2,1,3,3,2,0,1,1,2,3,3,2,3,4,2,4,2,1,2,3,2,3,4
20,0,1,1,2,3,1,2,0,1,3,0,0,4,1,0,1,3,2,4,2,4,1,0,1
21,4,1,4,1,1,2,3,2,0,1,2,3,3,3,1,2,2,3,8,3,2,10,4,4
22,2,0,2,2,6,2,1,1,4,5,0,3,6,0,7,2,2,2,3,7,4,0,5,5
23,3,2,3,3,3,7,3,1,4,4,4,4,10,2,6,5,2,8,7,7,5,6,7,9
24,3,4,1,6,1,3,2,4,4,2,0,5,2,6,2,4,1,7,6,3,3,4,9,3
25,3,1,5,1,1,5,0,0,3,1,2,0,1,1,2,2,1,0,1,1,3,2,1,3
26,2,4,5,1,1,4,5,1,3,2,1,2,4,6,4,2,1,4,3,2,4,2,2,4
27,1,1,0,2,1,0,4,2,1,2,2,2,2,0,0,1,1,1,3,2,1,2,2,3
28,3,2,4,4,5,1,6,0,2,1,0,5,3,1,3,3,4,5,6,2,4,6,1,6
29,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,2,0,0,1,0,0,0,0
30,1,0,0,2,2,1,2,2,0,0,0,0,4,0,1,1,2,0,0,1,2,1,1,0
31,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
32,1,0,2,1,1,1,1,1,2,0,1,0,2,1,2,1,2,1,0,0,0,2,0,1
33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
35,3,2,4,4,2,5,2,5,1,0,2,2,1,0,7,0,3,5,3,4,4,5,7,6
36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,0,1,0,0,1,1,1,3,1,3,1,2,1,2,3,0,0,1,0,1,6
