Intersection_id,Rd1_id,Rd2_id,Latitude,Longitude,Rd1_sp,Rd2_sp,Rd1_1_lane,Rd1_2_lane,Rd2_1_lane,Rd2_2_lane,lane_id,year,Big1_1_AM,Small1_1_AM,Scooter1_1_AM,PCU1_1_AM,Trun1_1_AM,Big1_2_AM,Small1_2_AM,Scooter1_2_AM,PCU1_2_AM,Trun1_2_AM,Big2_1_AM,Small2_1_AM,Scooter2_1_AM,PCU2_1_AM,Trun2_1_AM,Big2_2_AM,Small2_2_AM,Scooter2_2_AM,PCU2_2_AM,Trun2_2_AM,Big1_1_PM,Small1_1_PM,Scooter1_1_PM,PCU1_1_PM,Trun1_1_PM,Big1_2_PM,Small1_2_PM,Scooter1_2_PM,PCU1_2_PM,Trun1_2_PM,Big2_1_PM,Small2_1_PM,Scooter2_1_PM,PCU2_1_PM,Trun2_1_PM,Big2_2_PM,Small2_2_PM,Scooter2_2_PM,PCU2_2_PM,Trun2_2_PM
1,1,7,25.045184,121.557793,36,39,2,2,3,4,(ACBD),102,0,24,76,1392,7,0,48,52,3258,50,2,32,66,1686,27,3,58,39,2135,35,0,31,69,1681,8,0,47,53,2942,47,3,43,54,1223,35,2,53,45,2444,26
2,1,8,25.044416,121.553781,36,44,2,2,4,4,(ACBD),102,0,24,76,1761,18,0,20,80,2376,16,3,46,51,3173,10,5,55,40,1930,19,0,20,80,2119,18,0,30,70,2205,22,4,47,49,2317,17,4,55,41,2684,22
3,1,9,25.044902,121.548899,36,43,2,2,4,4,(ACBD),102,0,25,75,1701,18,0,18,82,2454,24,1,28,71,2430,9,2,27,71,2020,11,0,26,74,2426,18,1,29,70,1898,24,1,42,57,1786,10,1,30,69,2186,17
4,1,10,25.044883,121.543814,36,42,4,3,2,2,(ACBD),103,0,47,53,2499,23,0,27,73,3734,4,4,44,52,900,55,2,63,35,710,58,0,35,65,2790,18,0,36,64,2688,7,3,55,42,922,51,1,52,47,1061,49
5,1,11,25.045456,121.532924,36,51,3,3,4,5,(ACBD),102,1,41,58,2574,11,0,26,74,4021,3,11,88,1,1087,3,10,80,10,814,33,0,32,68,3599,6,0,42,58,3092,9,12,86,2,897,9,6,83,11,1375,31
6,2,7,25.041491,121.557740,50,39,4,4,3,4,(ACBD),102,2,35,63,3020,18,3,47,50,2220,10,2,41,57,1927,25,2,47,51,2139,35,2,35,63,3174,21,3,43,54,2140,13,2,37,61,1192,17,2,52,46,2440,36
7,2,8,25.041520,121.548835,50,44,5,4,5,5,(ACBD),102,4,44,52,2341,13,3,52,45,3038,15,3,46,51,3412,8,5,43,52,2352,12,2,43,55,2578,10,3,54,43,3094,16,4,49,47,2525,12,4,49,47,3117,14
8,2,9,25.041753,121.543910,50,43,5,4,4,4,(ACBD),102,5,46,49,2180,20,3,48,49,3464,10,1,29,70,2312,6,2,38,60,2231,32,3,44,53,3020,22,3,57,40,3328,15,1,36,63,1714,9,1,34,65,2403,28
9,2,10,25.041763,121.537108,50,42,4,4,4,5,(ACBD),103,6,56,38,1917,36,2,42,56,2545,14,2,31,67,2079,11,1,54,45,1955,48,3,55,42,2480,31,3,49,48,2290,17,1,52,47,1922,16,1,50,49,2586,50
10,2,11,25.042414,121.532870,50,51,5,5,4,4,(ACBD),102,5,46,49,1951,12,4,59,37,2231,8,1,24,75,3429,14,4,30,66,1159,10,3,41,56,3021,12,4,69,27,1941,12,2,33,65,2108,13,2,32,66,1865,14
11,3,7,25.037729,121.557589,45,39,4,3,3,3,(ACBD),102,2,62,36,1821,14,7,53,40,946,15,1,40,59,1635,16,2,46,52,1225,22,3,56,41,2285,11,4,69,27,833,14,1,44,55,1247,25,2,41,57,1664,19
12,3,8,25.037981,121.548792,45,44,5,1,5,4,(ADBE),102,2,68,30,2686,16,100,0,0,112,50,2,51,47,4137,26,4,54,42,2457,53,2,58,40,3246,23,100,0,0,89,49,3,56,41,2691,26,3,51,46,2698,55
13,3,9,25.037981,121.543728,45,43,9,1,3,4,(ACBD),104,2,65,33,2709,15,100,0,0,97,0,1,29,70,2494,18,1,37,62,1744,23,1,58,41,3361,17,100,0,0,95,0,2,40,58,1907,21,1,36,63,2356,23
14,3,10,25.038186,121.537848,45,42,10,1,4,7,(ACBD),102,2,69,29,3876,37,100,0,0,92,0,1,28,71,2263,20,1,50,49,1721,47,2,52,46,5454,35,100,0,0,85,0,1,43,56,1194,27,0,32,68,2380,38
15,3,11,25.038152,121.532774,45,51,5,1,5,5,(ACBD),102,1,64,35,2787,16,100,0,0,81,0,1,28,71,3559,15,3,40,57,1247,14,1,52,47,4091,21,100,0,0,63,0,2,39,59,1855,19,2,26,72,2329,14
16,4,7,25.033092,121.557487,35,39,1,5,3,3,(ACBD),103,100,0,0,117,37,2,59,39,4089,19,1,53,46,2372,9,3,57,40,2230,12,100,0,0,137,36,3,56,41,3697,21,1,52,47,2400,9,3,57,40,2148,14
17,4,8,25.033262,121.548792,35,44,1,6,5,5,(ACBD),102,100,0,0,173,31,2,48,50,3160,20,2,57,41,3150,11,5,43,52,978,1,100,0,0,155,32,3,57,40,2696,21,3,63,34,2283,19,4,52,44,1743,2
