Intersection_id,Rd1_id,Rd2_id,E,W,S,N
1,1,7,-,2,6,-
2,1,8,1,3,7,-
3,1,9,2,4,8,-
4,1,10,3,5,9,-
5,1,11,4,-,10,-
6,2,7,-,7,11,1
7,2,8,6,8,12,2
8,2,9,7,9,13,3
9,2,10,8,10,14,4
10,2,11,9,-,15,5
11,3,7,-,12,16,6
12,3,8,11,13,17,7
13,3,9,12,14,18,8
14,3,10,13,15,19,9
15,3,11,14,-,20,10
16,4,7,-,17,28,11
17,4,8,16,18,22,12
18,4,9,17,19,23,13
19,4,10,18,20,24,14
20,4,11,19,21,25,15
21,4,12,20,-,26,-
22,5,8,29,23,30,17
23,5,9,22,24,34,18
24,5,10,23,25,35,19
25,5,11,24,26,36,20
26,5,12,25,27,-,21
27,5,13,26,-,-,-
28,14,7,-,29,-,16
29,14,4,28,30,-,22
30,14,8,29,31,-,22
31,14,6,30,32,-,34
32,14,15,31,33,-,-
33,14,13,32,-,-,38
34,6,9,31,35,-,23
35,6,10,34,36,-,24
36,6,11,35,37,38,25
37,6,13,38,27,-,36
38,13,11,33,37,-,36
